Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
The Murder Room,P. D. James,eBook,14.29,12.99,None,None,None,None
The Murder Room,P. D. James,eBook,14.29,12.99,None,None,None,None
Thor,Jason Aaron,eBook,13.19,10.99,None,None,None,None
Thor,Jason Aaron,eBook,13.19,10.99,None,None,None,None
The Queen and I,Sue Townsend,eBook,15.99,,None,None,None,None
The Prize,Julie Garwood,eBook,17.14,13.99,None,None,None,None
Alone in Berlin,Hans Fallada,eBook,15.99,,None,None,None,None
Alone in Berlin,Hans Fallada,eBook,15.99,,None,None,None,None
The Wicked King,Holly Black,eBook,,,None,None,None,None
The Wicked King,Holly Black,eBook,,,None,None,None,None
The Wicked King,Holly Black,eBook,,,None,None,None,None
Exit West,Mohsin Hamid,eBook,15.99,,None,None,None,None
Exit West,Mohsin Hamid,eBook,15.99,,None,None,None,None
Night Watch,Terry Pratchett,eBook,15.99,,None,None,None,None
The Bhagavad Gita,Laurie L. Patton,eBook,14.99,,None,None,None,None
The Language Instinct,Steven Pinker,eBook,16.99,,None,None,None,None
The Language Instinct,Steven Pinker,eBook,16.99,,None,None,None,None
The Spy and the Traitor,Ben Macintyre,,,,None,None,None,None
The Spy and the Traitor,Ben Macintyre,,,,None,None,None,None
The Spy and the Traitor,Ben Macintyre,,,,None,None,None,None
Ancillary Sword,Ann Leckie,eBook,11.99,,None,None,None,None
Ancillary Sword,Ann Leckie,eBook,11.99,,None,None,None,None
Redeeming Your Bloodline,Hrvoje Sirovina,Paperback,32.63,,None,None,None,None
Liar Liar,M. J. Arlidge,eBook,15.99,,None,None,None,None
Liar Liar,M. J. Arlidge,eBook,15.99,,None,None,None,None
Liar Liar,M. J. Arlidge,eBook,15.99,,None,None,None,None
Liar Liar,M. J. Arlidge,eBook,15.99,,None,None,None,None
Liar Liar,M. J. Arlidge,eBook,15.99,,None,None,None,None
Liar Liar,M. J. Arlidge,eBook,15.99,,None,None,None,None
The Sleep Of Reason,C.P. Snow,eBook,,,None,None,None,None
The Sleep Of Reason,C.P. Snow,eBook,,,None,None,None,None
The Scottish Clearances,T. M. Devine,eBook,15.99,,None,None,None,None
No One Is Too Small to Make a Difference,Greta Thunberg,eBook,14.99,,None,None,None,None
No One Is Too Small to Make a Difference,Greta Thunberg,eBook,14.99,,None,None,None,None
No One Is Too Small to Make a Difference,Greta Thunberg,eBook,14.99,,None,None,None,None
No One Is Too Small to Make a Difference,Greta Thunberg,eBook,14.99,,None,None,None,None
No One Is Too Small to Make a Difference,Greta Thunberg,eBook,14.99,,None,None,None,None
Gypsy,Lesley Pearse,eBook,15.99,,None,None,None,None
Gypsy,Lesley Pearse,eBook,15.99,,None,None,None,None
Gypsy,Lesley Pearse,eBook,15.99,,None,None,None,None
The Hunger Games,Suzanne Collins,eBook,,,None,None,None,None
The Hunger Games,Suzanne Collins,eBook,,,None,None,None,None
The Hunger Games,Suzanne Collins,eBook,,,None,None,None,None
The Hunger Games,Suzanne Collins,eBook,,,None,None,None,None
The Hunger Games,Suzanne Collins,eBook,,,None,None,None,None
The Hunger Games,Suzanne Collins,eBook,,,None,None,None,None
The Hunger Games,Suzanne Collins,eBook,,,None,None,None,None
The Hunger Games,Suzanne Collins,eBook,,,None,None,None,None
Lean In,Sheryl Sandberg,eBook,18.99,,None,None,None,None
The Other Side of the Story,Marian Keyes,eBook,15.99,,None,None,None,None
The Other Side of the Story,Marian Keyes,eBook,15.99,,None,None,None,None
The Other Side of the Story,Marian Keyes,eBook,15.99,,None,None,None,None
The Other Side of the Story,Marian Keyes,eBook,15.99,,None,None,None,None
The Other Side of the Story,Marian Keyes,eBook,15.99,,None,None,None,None
The Other Side of the Story,Marian Keyes,eBook,15.99,,None,None,None,None
Another Woman,Penny Vincenzi,eBook,12.99,,None,None,None,None
Uprooted,Naomi Novik,eBook,,,None,None,None,None
Going Dutch,Katie Fforde,eBook,15.99,,None,None,None,None
Going Dutch,Katie Fforde,eBook,15.99,,None,None,None,None
Going Dutch,Katie Fforde,eBook,15.99,,None,None,None,None
Going Dutch,Katie Fforde,eBook,15.99,,None,None,None,None
Going Dutch,Katie Fforde,eBook,15.99,,None,None,None,None
Going Dutch,Katie Fforde,eBook,15.99,,None,None,None,None
Going Dutch,Katie Fforde,eBook,15.99,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
A Dedicated Man,Peter Robinson,eBook,,,None,None,None,None
A Dedicated Man,Peter Robinson,eBook,,,None,None,None,None
A Dedicated Man,Peter Robinson,eBook,,,None,None,None,None
A Dedicated Man,Peter Robinson,eBook,,,None,None,None,None
A Dedicated Man,Peter Robinson,eBook,,,None,None,None,None
A Dedicated Man,Peter Robinson,eBook,,,None,None,None,None
A Dedicated Man,Peter Robinson,eBook,,,None,None,None,None
A Dedicated Man,Peter Robinson,eBook,,,None,None,None,None
A Dedicated Man,Peter Robinson,eBook,,,None,None,None,None
Mr Loverman,Bernardine Evaristo,eBook,15.99,,None,None,None,None
